Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Single-Ended I/O,PLLs and CCCs,Chip Globals,MSS,10/100/1000 Ethernet,RCOSC_50MHZ
Primitives/Primitives,0,0,18,0,0,0,0,0
cdh_tsat5_system_sb_0/CCC_0/Primitives,0,0,0,1,1,0,0,0
cdh_tsat5_system_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/Primitives,370,88,0,0,0,0,0,0
cdh_tsat5_system_sb_0/COREI2C_0_0/Primitives,3,10,0,0,0,0,0,0
cdh_tsat5_system_sb_0/CORERESETP_0/Primitives,2,10,0,0,1,0,0,0
cdh_tsat5_system_sb_0/CORESPI_0_0/CSPIOl/Primitives,32,26,0,0,0,0,0,0
cdh_tsat5_system_sb_0/CORESPI_0_0/CSPIOl/genblk4.CSPII1l/Primitives,66,51,0,0,0,0,0,0
cdh_tsat5_system_sb_0/CoreAPB3_0/u_mux_p_to_b3/Primitives,36,0,0,0,0,0,0,0
cdh_tsat5_system_sb_0/FABOSC_0/Primitives,0,0,0,0,0,0,0,1
cdh_tsat5_system_sb_0/Primitives,1,0,2,0,0,0,0,0
cdh_tsat5_system_sb_0/cdh_tsat5_system_sb_MSS_0/Primitives,3,0,0,0,0,1,0,0
